age_range,name,gender,marital_status,household_size,education_level,ethnicity,language_preferences,nationality,occupation,religion,date_of_birth,geographic_mobility,citizenship_status,birthplace,military_service
65+,Grace,Female,Married,1,Doctorate,African American,Other,USA,Professional,Christianity,1990-10-17,Low,Work Visa,Rural,Yes
55-64,Zion,Female,Divorced,1,Doctorate,Asian,English,USA,Student,Other,1979-11-14,Low,Other,Rural,Yes
18-24,Zion,Female,Married,5+,Undergraduate,Other,Other,USA,Professional,Christianity,2001-01-30,High,Citizen,Rural,Yes
45-54,Delilah,Non-Binary,Single,3-4,Doctorate,Hispanic,Spanish,UK,Retired,Christianity,2001-08-06,Moderate,Citizen,Suburban,Yes
65+,Yvette,Non-Binary,Divorced,5+,Postgraduate,African American,English,UK,Self-employed,Other,1969-11-16,Low,Other,Urban,No
45-54,Landon,Male,Widowed,3-4,Postgraduate,Caucasian,English,India,Student,Islam,1971-08-29,Moderate,Citizen,Urban,No
35-44,Jordan,Non-Binary,Married,3-4,Postgraduate,Caucasian,Spanish,USA,Self-employed,Islam,1979-10-17,High,Permanent Resident,Rural,No
45-54,Zion,Non-Binary,Single,1,Undergraduate,Hispanic,Spanish,Canada,Self-employed,Hinduism,1941-08-24,High,Other,Urban,No
<18,Xander,Male,Single,5+,Postgraduate,Asian,Mandarin,India,Professional,Islam,1957-11-04,High,Work Visa,Suburban,No
55-64,Xochitl,Female,Divorced,3-4,High School,Other,English,India,Retired,Atheism,1959-01-27,Low,Other,Rural,Yes
65+,Sienna,Female,Divorced,1,Doctorate,Caucasian,Spanish,India,Retired,Christianity,1985-01-19,High,Other,Rural,Yes
65+,Quinn,Female,Divorced,1,High School,Caucasian,Other,UK,Retired,Hinduism,1947-01-17,High,Permanent Resident,Rural,Yes
45-54,Bob,Male,Single,1,Postgraduate,African American,English,Australia,Retired,Buddhism,1980-03-09,Moderate,Other,Urban,Yes
45-54,Noah,Female,Married,3-4,High School,Caucasian,English,Australia,Student,Hinduism,1972-03-25,Low,Permanent Resident,Suburban,Yes
35-44,Cecilia,Male,Divorced,1,Doctorate,Caucasian,Mandarin,USA,Retired,Christianity,1980-01-23,Moderate,Citizen,Urban,No
55-64,Ursula,Non-Binary,Married,3-4,High School,Asian,Mandarin,USA,Self-employed,Other,1962-08-26,High,Citizen,Urban,Yes
18-24,Ursula,Non-Binary,Divorced,2,Undergraduate,Other,Other,Canada,Self-employed,Islam,1945-01-31,Low,Other,Urban,No
65+,Yosef,Non-Binary,Divorced,5+,High School,Other,English,USA,Retired,Buddhism,1972-09-24,High,Work Visa,Urban,No
35-44,Gavin,Female,Single,5+,Doctorate,Hispanic,Spanish,UK,Student,Buddhism,1948-05-08,Low,Other,Suburban,No
25-34,Kaitlyn,Female,Married,2,Doctorate,Other,English,UK,Student,Buddhism,1986-07-03,High,Work Visa,Rural,No
55-64,Taylor,Non-Binary,Widowed,3-4,Undergraduate,Asian,Spanish,India,Self-employed,Other,1992-10-25,High,Other,Suburban,Yes
35-44,Landon,Female,Widowed,1,Postgraduate,African American,Other,India,Professional,Hinduism,1968-11-01,Moderate,Work Visa,Rural,Yes
65+,Kennedy,Female,Single,2,Postgraduate,Caucasian,English,UK,Student,Atheism,2004-01-19,Low,Citizen,Suburban,Yes
45-54,Ethan,Non-Binary,Widowed,3-4,Doctorate,Caucasian,Spanish,USA,Professional,Buddhism,1992-03-14,High,Other,Urban,No
55-64,Tanner,Male,Divorced,1,Postgraduate,Asian,French,USA,Retired,Other,1954-03-30,High,Citizen,Rural,No
65+,Maddox,Non-Binary,Married,3-4,Postgraduate,Hispanic,Mandarin,USA,Student,Buddhism,1988-11-29,Moderate,Citizen,Urban,No
25-34,Harry,Non-Binary,Divorced,1,Doctorate,African American,English,India,Retired,Christianity,1985-09-23,High,Permanent Resident,Rural,Yes
18-24,Kennedy,Male,Widowed,3-4,Undergraduate,Other,Other,USA,Student,Hinduism,1945-01-23,High,Other,Suburban,Yes
45-54,Jasper,Male,Divorced,3-4,Doctorate,Hispanic,English,India,Professional,Islam,1940-11-06,Low,Citizen,Urban,No
<18,Zeke,Female,Widowed,2,Doctorate,African American,Mandarin,Australia,Retired,Buddhism,2005-02-28,High,Other,Urban,No
25-34,Thomas,Male,Widowed,1,Doctorate,African American,Other,India,Student,Atheism,1982-12-30,Low,Permanent Resident,Suburban,Yes
<18,Ivan,Non-Binary,Divorced,2,Undergraduate,Hispanic,Mandarin,USA,Retired,Christianity,1963-06-24,High,Permanent Resident,Rural,No
35-44,Jordan,Female,Married,1,Postgraduate,Asian,Mandarin,USA,Self-employed,Buddhism,1962-09-25,Low,Work Visa,Rural,No
35-44,Gideon,Male,Widowed,2,Postgraduate,Caucasian,English,USA,Student,Atheism,1989-07-13,Low,Other,Urban,No
25-34,Yasmin,Non-Binary,Married,2,High School,Hispanic,Other,USA,Self-employed,Islam,1955-10-25,Low,Citizen,Urban,Yes
65+,Imogen,Non-Binary,Single,5+,High School,Other,English,Canada,Retired,Islam,1950-06-26,High,Citizen,Suburban,Yes
35-44,George,Non-Binary,Single,5+,Postgraduate,African American,French,India,Retired,Other,1954-10-28,High,Citizen,Suburban,Yes
55-64,Xenia,Male,Married,1,High School,African American,French,UK,Retired,Buddhism,1969-01-27,Low,Other,Suburban,No
55-64,Jade,Non-Binary,Divorced,5+,High School,Other,Spanish,Canada,Professional,Hinduism,1962-08-08,High,Citizen,Urban,Yes
25-34,Logan,Female,Married,2,Doctorate,Asian,English,UK,Self-employed,Christianity,1950-10-15,Moderate,Permanent Resident,Rural,No
45-54,Vivian,Male,Divorced,2,Undergraduate,Other,Other,Canada,Self-employed,Christianity,2000-07-04,Low,Citizen,Suburban,No
65+,Jasper,Non-Binary,Single,1,Doctorate,Other,English,Australia,Professional,Hinduism,2000-02-28,Moderate,Other,Urban,Yes
<18,Ursula,Male,Divorced,1,Doctorate,Hispanic,Mandarin,UK,Self-employed,Islam,1984-12-04,Moderate,Work Visa,Urban,No
<18,Carter,Male,Widowed,2,Postgraduate,Asian,Spanish,USA,Self-employed,Islam,1976-03-22,Moderate,Citizen,Rural,Yes
55-64,Theodore,Non-Binary,Single,1,Doctorate,Hispanic,English,USA,Student,Christianity,1986-08-17,Moderate,Permanent Resident,Suburban,Yes
<18,Jamie,Non-Binary,Divorced,5+,High School,Caucasian,Other,UK,Retired,Hinduism,1947-09-17,High,Work Visa,Suburban,No
35-44,Tanner,Male,Divorced,2,High School,African American,Other,India,Self-employed,Islam,1944-08-28,Moderate,Permanent Resident,Suburban,Yes
55-64,Tina,Female,Single,2,High School,Asian,French,USA,Student,Christianity,1973-06-20,High,Work Visa,Suburban,No
<18,Emmett,Non-Binary,Widowed,2,Postgraduate,Other,Other,UK,Self-employed,Buddhism,1953-11-28,Moderate,Work Visa,Suburban,No
<18,Harriet,Non-Binary,Single,3-4,Undergraduate,African American,French,India,Student,Christianity,1984-10-29,Low,Work Visa,Urban,Yes
<18,Lily,Non-Binary,Widowed,3-4,High School,Caucasian,Spanish,India,Retired,Other,1984-08-22,Low,Permanent Resident,Urban,Yes
45-54,Ulric,Male,Single,3-4,Postgraduate,Hispanic,Mandarin,Australia,Student,Islam,1964-02-06,Low,Work Visa,Rural,Yes
45-54,Jade,Male,Divorced,2,Doctorate,Caucasian,Spanish,USA,Student,Christianity,1988-08-02,Moderate,Work Visa,Urban,Yes
35-44,Quinton,Non-Binary,Single,2,Postgraduate,African American,French,India,Professional,Other,1966-10-23,High,Permanent Resident,Urban,No
55-64,Sophia,Non-Binary,Divorced,2,Doctorate,African American,English,Australia,Student,Christianity,1998-04-16,Low,Work Visa,Urban,No
<18,Laura,Female,Married,2,Doctorate,Other,Other,Canada,Student,Hinduism,1970-07-11,Low,Citizen,Suburban,Yes
65+,Hannah,Female,Divorced,3-4,Undergraduate,African American,Spanish,UK,Retired,Other,1963-05-06,High,Other,Rural,No
<18,Frank,Female,Divorced,1,Postgraduate,African American,Other,UK,Self-employed,Islam,2004-06-04,Low,Citizen,Suburban,No
55-64,Paula,Non-Binary,Widowed,1,High School,African American,French,UK,Student,Other,1965-01-24,Moderate,Other,Suburban,Yes
25-34,Kennedy,Female,Single,1,High School,African American,French,USA,Retired,Other,2004-04-02,High,Other,Rural,No
25-34,Gavin,Non-Binary,Single,2,Undergraduate,Other,French,Australia,Retired,Christianity,1987-07-24,High,Permanent Resident,Suburban,Yes
65+,Laura,Male,Widowed,2,Postgraduate,Hispanic,Other,India,Retired,Christianity,1953-01-25,Low,Permanent Resident,Rural,No
45-54,Blake,Male,Single,5+,Postgraduate,Other,Spanish,Australia,Student,Atheism,1962-09-01,Low,Work Visa,Urban,No
<18,Skylar,Female,Divorced,1,Postgraduate,African American,French,India,Student,Atheism,1983-12-29,Moderate,Permanent Resident,Rural,Yes
65+,Ethan,Non-Binary,Widowed,2,Undergraduate,Hispanic,Other,Canada,Self-employed,Christianity,1972-07-03,Low,Work Visa,Urban,No
25-34,Jasper,Male,Divorced,5+,Undergraduate,Caucasian,Spanish,Australia,Professional,Atheism,1972-11-22,High,Work Visa,Suburban,No
35-44,Charlotte,Non-Binary,Single,1,Undergraduate,Other,Mandarin,Australia,Self-employed,Other,1968-12-08,High,Permanent Resident,Urban,Yes
45-54,Bella,Female,Married,1,Doctorate,Other,Mandarin,Canada,Retired,Atheism,1997-05-29,High,Work Visa,Suburban,No
<18,Uriel,Non-Binary,Married,3-4,Postgraduate,Caucasian,Other,Canada,Self-employed,Hinduism,1966-08-18,High,Citizen,Rural,No
25-34,Diana,Female,Single,2,Doctorate,Asian,Spanish,UK,Retired,Atheism,1942-04-30,High,Work Visa,Suburban,No
65+,Ursula,Male,Widowed,3-4,Undergraduate,Asian,Mandarin,India,Retired,Hinduism,2002-09-04,Low,Permanent Resident,Rural,No
35-44,Madison,Non-Binary,Widowed,2,High School,Hispanic,Mandarin,Australia,Self-employed,Atheism,2005-07-30,High,Work Visa,Urban,No
45-54,Violet,Female,Widowed,3-4,Postgraduate,Other,Mandarin,UK,Self-employed,Islam,1952-06-25,Moderate,Work Visa,Urban,Yes
18-24,Cameron,Non-Binary,Married,1,Undergraduate,Caucasian,French,UK,Professional,Hinduism,1942-06-28,Low,Permanent Resident,Urban,No
18-24,Ximena,Female,Widowed,2,Postgraduate,Hispanic,Mandarin,UK,Retired,Other,1970-03-18,Moderate,Other,Urban,No
65+,Elias,Male,Single,3-4,High School,Asian,English,UK,Professional,Buddhism,1977-11-18,Low,Other,Urban,No
18-24,Oscar,Female,Single,2,High School,Asian,French,Canada,Professional,Hinduism,2004-08-25,Moderate,Citizen,Rural,No
25-34,Elena,Male,Married,5+,High School,Asian,French,Australia,Retired,Hinduism,1968-05-12,High,Work Visa,Rural,Yes
35-44,Xander,Non-Binary,Divorced,3-4,Postgraduate,African American,Mandarin,Canada,Professional,Other,1996-02-01,Moderate,Citizen,Rural,Yes
25-34,Sophia,Male,Married,2,High School,African American,English,India,Retired,Other,1946-07-26,Low,Work Visa,Rural,No
65+,Hudson,Non-Binary,Divorced,3-4,High School,Other,Mandarin,Canada,Self-employed,Atheism,1951-07-27,Low,Citizen,Rural,Yes
25-34,Hannah,Male,Divorced,5+,Postgraduate,Hispanic,Mandarin,UK,Self-employed,Buddhism,1999-06-30,Low,Permanent Resident,Urban,Yes
45-54,Skylar,Non-Binary,Married,5+,Postgraduate,Caucasian,French,Australia,Self-employed,Atheism,1960-06-03,Moderate,Citizen,Urban,No
18-24,Uma,Male,Widowed,3-4,Undergraduate,Hispanic,Other,USA,Retired,Other,1988-04-04,High,Other,Rural,No
25-34,Ruby,Male,Single,5+,Undergraduate,African American,Spanish,UK,Retired,Atheism,1974-09-26,Low,Citizen,Suburban,Yes
25-34,Rose,Female,Single,3-4,Postgraduate,Asian,Mandarin,India,Student,Islam,1959-01-01,High,Work Visa,Rural,No
18-24,Vanessa,Non-Binary,Divorced,2,High School,Asian,French,Australia,Self-employed,Atheism,1983-07-04,Moderate,Citizen,Suburban,Yes
<18,Parker,Male,Divorced,2,Doctorate,Hispanic,Mandarin,India,Student,Christianity,1965-10-24,Low,Citizen,Suburban,Yes
55-64,Brooke,Female,Divorced,2,High School,Other,English,India,Professional,Buddhism,1964-02-27,High,Other,Suburban,No
45-54,Jack,Female,Divorced,2,High School,Asian,English,UK,Professional,Hinduism,1968-12-07,High,Other,Rural,Yes
25-34,Henry,Non-Binary,Single,5+,Doctorate,Other,Other,UK,Student,Hinduism,1944-12-22,Low,Work Visa,Urban,Yes
45-54,Connor,Female,Married,2,High School,Caucasian,Spanish,Canada,Professional,Hinduism,1999-11-18,High,Permanent Resident,Urban,No
35-44,Yvonne,Male,Widowed,5+,Postgraduate,Asian,Spanish,Canada,Professional,Christianity,1984-01-02,Moderate,Citizen,Urban,Yes
25-34,Elias,Non-Binary,Widowed,5+,Doctorate,African American,English,India,Student,Christianity,1957-05-14,Moderate,Citizen,Suburban,Yes
35-44,Elena,Male,Married,2,High School,Caucasian,French,India,Retired,Islam,1972-07-13,Low,Permanent Resident,Suburban,No
<18,Imogen,Female,Single,3-4,Postgraduate,Asian,Spanish,Australia,Student,Buddhism,2004-07-31,Moderate,Citizen,Rural,No
25-34,Riley,Male,Single,1,Postgraduate,Asian,Mandarin,UK,Professional,Islam,1993-01-08,Low,Permanent Resident,Rural,No
18-24,Xena,Female,Widowed,3-4,High School,Hispanic,Spanish,UK,Professional,Hinduism,1997-12-27,Moderate,Permanent Resident,Urban,Yes
18-24,Rose,Male,Single,5+,High School,Caucasian,Other,USA,Student,Other,1941-09-10,Moderate,Other,Suburban,No
65+,Yasmin,Non-Binary,Married,3-4,Postgraduate,African American,French,USA,Professional,Buddhism,1994-09-07,Low,Other,Suburban,Yes
35-44,Jamie,Non-Binary,Single,5+,Postgraduate,Asian,French,Australia,Student,Buddhism,1943-02-09,Moderate,Other,Suburban,Yes
45-54,Bella,Male,Widowed,5+,Doctorate,Other,English,UK,Student,Islam,1993-04-04,Low,Work Visa,Urban,Yes
55-64,Aaron,Non-Binary,Divorced,5+,Doctorate,African American,Mandarin,Canada,Self-employed,Christianity,1966-10-19,High,Citizen,Rural,Yes
35-44,Daphne,Non-Binary,Widowed,5+,High School,Other,Other,India,Professional,Hinduism,1949-11-09,Moderate,Permanent Resident,Rural,No
45-54,Tucker,Non-Binary,Married,5+,Doctorate,Caucasian,English,Australia,Professional,Hinduism,1992-11-23,Moderate,Other,Suburban,No
25-34,Olivia,Male,Married,1,Undergraduate,African American,English,Australia,Student,Other,1996-07-07,Low,Work Visa,Suburban,Yes
25-34,Madison,Female,Divorced,1,Doctorate,African American,English,Australia,Retired,Islam,1973-12-01,Moderate,Permanent Resident,Urban,No
65+,Nina,Male,Married,2,Doctorate,Caucasian,English,Australia,Professional,Christianity,1986-12-01,Low,Work Visa,Rural,Yes
18-24,Alice,Male,Widowed,5+,Undergraduate,Other,French,India,Professional,Other,1999-02-24,Low,Work Visa,Urban,No
<18,David,Male,Single,5+,High School,Hispanic,Mandarin,USA,Professional,Hinduism,1939-03-05,Low,Permanent Resident,Urban,No
55-64,Uma,Male,Widowed,3-4,Postgraduate,Asian,Other,India,Self-employed,Hinduism,1941-10-12,Low,Citizen,Urban,Yes
<18,Yosef,Female,Divorced,5+,Doctorate,Asian,Other,Canada,Professional,Hinduism,1945-04-20,Moderate,Other,Urban,No
25-34,Piper,Male,Divorced,5+,Undergraduate,Other,French,Canada,Student,Islam,2003-04-04,Moderate,Other,Suburban,Yes
18-24,Uriel,Non-Binary,Divorced,1,High School,Other,Other,UK,Retired,Atheism,1990-03-31,Moderate,Citizen,Urban,Yes
55-64,Ursula,Female,Widowed,3-4,Doctorate,Other,English,Canada,Student,Hinduism,2006-06-29,Low,Work Visa,Urban,Yes
18-24,Adam,Female,Divorced,5+,High School,African American,Other,USA,Student,Christianity,1987-10-01,Moderate,Other,Urban,Yes
55-64,Zion,Non-Binary,Divorced,2,Postgraduate,Other,Spanish,India,Student,Other,1984-05-03,High,Work Visa,Rural,No
<18,Jacob,Non-Binary,Married,5+,Undergraduate,Hispanic,Other,UK,Retired,Hinduism,1969-05-18,Low,Citizen,Urban,Yes
35-44,Henry,Female,Widowed,5+,Postgraduate,Asian,French,Australia,Self-employed,Islam,1952-10-09,High,Citizen,Rural,No
<18,Brianna,Male,Widowed,3-4,High School,African American,Mandarin,Canada,Professional,Other,1940-01-16,Low,Citizen,Suburban,Yes
18-24,David,Male,Married,3-4,Undergraduate,Hispanic,Spanish,USA,Retired,Other,1955-09-20,Moderate,Permanent Resident,Suburban,Yes
65+,Ivan,Female,Widowed,3-4,Postgraduate,Caucasian,Spanish,UK,Student,Atheism,1946-03-22,High,Other,Urban,Yes
35-44,Violet,Female,Divorced,5+,High School,Other,Mandarin,Canada,Professional,Buddhism,1974-07-10,High,Permanent Resident,Urban,Yes
18-24,Felicity,Non-Binary,Single,2,High School,Caucasian,French,Canada,Self-employed,Atheism,1943-10-19,Moderate,Other,Rural,Yes
<18,Xenia,Male,Divorced,5+,Postgraduate,African American,Mandarin,USA,Student,Other,1964-01-24,High,Work Visa,Suburban,Yes
65+,Yvette,Non-Binary,Divorced,5+,Doctorate,Caucasian,English,USA,Student,Other,1982-12-18,High,Other,Suburban,No
55-64,Jamie,Male,Widowed,3-4,High School,Caucasian,Mandarin,USA,Retired,Other,1958-06-04,Low,Citizen,Urban,No
35-44,Wesley,Non-Binary,Divorced,2,High School,Hispanic,Spanish,UK,Retired,Christianity,1955-12-18,Low,Other,Rural,No
<18,Grace,Female,Single,5+,High School,Caucasian,Spanish,UK,Professional,Buddhism,1992-05-13,High,Other,Urban,No
35-44,Connor,Male,Divorced,2,Postgraduate,Caucasian,Other,UK,Retired,Other,1951-08-19,Low,Work Visa,Suburban,Yes
65+,Gideon,Female,Married,5+,Doctorate,Asian,English,USA,Retired,Islam,1974-08-28,Low,Work Visa,Suburban,Yes
35-44,Julia,Female,Widowed,2,Postgraduate,African American,Mandarin,Australia,Retired,Islam,1996-10-31,Moderate,Citizen,Urban,Yes
45-54,Lily,Female,Divorced,3-4,High School,Other,Spanish,India,Retired,Hinduism,1982-10-15,High,Permanent Resident,Rural,No
25-34,Charlotte,Male,Single,2,Postgraduate,Caucasian,Spanish,UK,Professional,Buddhism,1978-08-12,Moderate,Other,Urban,Yes
<18,Dean,Female,Widowed,5+,Postgraduate,Other,Other,Canada,Student,Atheism,1960-07-02,Low,Work Visa,Suburban,No
45-54,Uriah,Male,Single,5+,Postgraduate,African American,Spanish,USA,Student,Islam,1954-05-01,Low,Work Visa,Suburban,No
45-54,Zeke,Non-Binary,Widowed,5+,Undergraduate,Other,English,India,Retired,Hinduism,2001-12-03,Moderate,Permanent Resident,Rural,Yes
<18,Alice,Non-Binary,Single,3-4,Doctorate,Caucasian,French,USA,Retired,Buddhism,1993-11-08,Low,Other,Urban,Yes
25-34,Brooke,Male,Married,5+,Postgraduate,Other,Spanish,USA,Retired,Atheism,1940-09-17,Moderate,Other,Rural,No
55-64,Asher,Male,Widowed,3-4,Doctorate,Hispanic,French,India,Student,Atheism,1993-09-14,High,Work Visa,Suburban,No
65+,Xander,Non-Binary,Divorced,5+,High School,Asian,Mandarin,Canada,Retired,Atheism,2005-07-11,High,Permanent Resident,Rural,Yes
35-44,Daphne,Non-Binary,Single,5+,Doctorate,Caucasian,English,UK,Retired,Other,1983-06-20,Moderate,Work Visa,Rural,No
65+,George,Female,Widowed,1,Undergraduate,Asian,English,USA,Student,Atheism,1953-02-08,Moderate,Work Visa,Rural,No
35-44,Nina,Female,Widowed,2,Postgraduate,Other,Other,Australia,Retired,Islam,1956-02-17,Moderate,Permanent Resident,Suburban,Yes
55-64,Sophia,Non-Binary,Widowed,2,High School,Caucasian,Other,Australia,Professional,Islam,1998-09-12,Moderate,Citizen,Urban,No
35-44,Brianna,Male,Single,5+,High School,Other,French,USA,Professional,Hinduism,1975-07-24,Moderate,Other,Urban,No
55-64,Ulysses,Male,Widowed,3-4,High School,Other,Other,USA,Professional,Atheism,1959-11-06,Moderate,Citizen,Suburban,No
35-44,Charlie,Male,Single,1,Postgraduate,Hispanic,Spanish,India,Professional,Islam,1951-11-21,High,Permanent Resident,Urban,Yes
35-44,Prarthana,Male,Single,5+,High School,Asian,French,Canada,Retired,Buddhism,1941-10-18,Low,Citizen,Urban,No
25-34,Ximena,Female,Divorced,5+,High School,Caucasian,Spanish,Australia,Self-employed,Buddhism,1972-09-03,Low,Other,Urban,No
18-24,Julian,Male,Single,5+,Postgraduate,Caucasian,Other,India,Self-employed,Islam,1959-08-28,Moderate,Work Visa,Suburban,No
45-54,Leah,Male,Single,5+,Doctorate,Hispanic,Mandarin,Australia,Retired,Buddhism,1942-07-23,Low,Citizen,Rural,Yes
35-44,Theodore,Female,Married,2,Doctorate,Asian,English,India,Professional,Atheism,1960-12-27,High,Other,Rural,No
<18,Harriet,Male,Widowed,1,High School,Hispanic,French,India,Self-employed,Atheism,1963-04-25,Low,Permanent Resident,Suburban,Yes
55-64,Lincoln,Male,Divorced,2,Doctorate,Caucasian,Mandarin,USA,Retired,Atheism,1995-11-14,High,Citizen,Rural,No
45-54,Vanessa,Female,Widowed,1,Doctorate,Caucasian,French,Australia,Retired,Buddhism,1989-07-28,High,Permanent Resident,Urban,No
18-24,Kylie,Female,Divorced,5+,Doctorate,Hispanic,Other,India,Professional,Other,1976-12-10,High,Permanent Resident,Rural,No
