age_range,name,gender,marital_status,household_size,education_level,ethnicity,language_preferences,nationality,occupation,religion,date_of_birth,geographic_mobility,citizenship_status,birthplace,military_service
<18,Ivy,Male,Single,2,High School,Asian,English,Australia,Student,Atheism,1950-11-25,Low,Permanent Resident,Urban,Yes
35-44,Quincy,Non-Binary,Single,1,High School,Asian,Spanish,India,Retired,Christianity,1953-07-07,Low,Citizen,Urban,Yes
<18,Derek,Female,Married,1,High School,Other,French,Canada,Self-employed,Buddhism,1999-09-07,High,Other,Suburban,No
<18,Connor,Female,Single,3-4,Postgraduate,Asian,Other,UK,Professional,Hinduism,1991-10-23,Low,Other,Rural,No
35-44,Katherine,Non-Binary,Single,3-4,Postgraduate,African American,English,USA,Retired,Islam,1998-06-12,Moderate,Work Visa,Urban,No
<18,Xavier,Male,Divorced,1,Doctorate,African American,English,Canada,Professional,Islam,1974-11-21,Moderate,Permanent Resident,Suburban,Yes
25-34,Ian,Female,Divorced,3-4,Undergraduate,Other,Spanish,India,Student,Buddhism,2001-01-02,Moderate,Work Visa,Suburban,No
65+,Kyle,Female,Single,5+,Undergraduate,Hispanic,English,UK,Professional,Buddhism,1955-07-02,Moderate,Permanent Resident,Urban,No
65+,Wyatt,Male,Married,1,Postgraduate,Asian,Spanish,UK,Self-employed,Islam,1949-09-27,Low,Citizen,Suburban,Yes
35-44,Theodore,Male,Divorced,3-4,Postgraduate,Hispanic,Spanish,USA,Professional,Christianity,1979-02-12,High,Other,Urban,Yes
55-64,Bob,Non-Binary,Single,1,Undergraduate,Other,English,India,Student,Hinduism,1980-12-17,High,Work Visa,Rural,Yes
18-24,Kayla,Non-Binary,Married,2,Undergraduate,Asian,Spanish,India,Student,Islam,1967-06-27,Moderate,Work Visa,Suburban,Yes
45-54,Harper,Non-Binary,Married,3-4,Undergraduate,Caucasian,Other,UK,Student,Buddhism,1972-11-03,Moderate,Other,Suburban,Yes
18-24,Quinton,Female,Married,1,Undergraduate,Caucasian,Mandarin,India,Student,Atheism,1947-10-28,High,Work Visa,Suburban,No
35-44,Sophia,Non-Binary,Divorced,1,Postgraduate,Hispanic,Mandarin,India,Professional,Other,1999-03-01,Moderate,Other,Suburban,Yes
55-64,Yosef,Non-Binary,Married,5+,Postgraduate,Asian,English,Canada,Self-employed,Christianity,1942-12-06,Low,Other,Urban,No
45-54,Frank,Female,Single,2,High School,Hispanic,Spanish,Australia,Professional,Christianity,1964-09-10,Low,Permanent Resident,Urban,No
<18,Zane,Male,Divorced,5+,High School,Hispanic,Mandarin,USA,Retired,Islam,1944-07-26,Moderate,Permanent Resident,Rural,No
35-44,Skylar,Female,Divorced,5+,Doctorate,Hispanic,English,USA,Self-employed,Other,1950-07-27,Moderate,Work Visa,Urban,Yes
45-54,Quentin,Female,Single,3-4,Postgraduate,Other,Mandarin,USA,Professional,Other,1951-06-22,High,Permanent Resident,Rural,No
18-24,Sebastian,Male,Divorced,1,Postgraduate,Caucasian,Mandarin,India,Retired,Islam,1945-06-07,Moderate,Other,Suburban,No
25-34,Asher,Female,Divorced,5+,Undergraduate,Asian,Other,USA,Professional,Other,1961-07-18,Low,Other,Rural,No
25-34,Finn,Non-Binary,Single,5+,Undergraduate,Caucasian,Spanish,UK,Professional,Atheism,1965-09-04,Moderate,Other,Rural,No
<18,Ulric,Male,Single,5+,Undergraduate,African American,Mandarin,UK,Student,Christianity,1997-08-12,High,Work Visa,Rural,No
18-24,Zack,Non-Binary,Single,1,Doctorate,Other,Mandarin,India,Student,Other,1986-04-29,High,Citizen,Urban,No
65+,Daphne,Female,Divorced,1,Doctorate,Asian,Spanish,USA,Professional,Hinduism,1999-11-14,Low,Citizen,Suburban,Yes
18-24,Ethan,Non-Binary,Divorced,5+,Postgraduate,Caucasian,Spanish,Canada,Professional,Hinduism,2006-05-12,Low,Other,Suburban,No
45-54,Bob,Female,Single,5+,Doctorate,Caucasian,French,Australia,Self-employed,Christianity,1945-09-25,Moderate,Other,Urban,Yes
65+,Tucker,Female,Divorced,2,Doctorate,Hispanic,Other,Canada,Student,Christianity,1992-04-19,Moderate,Work Visa,Suburban,No
18-24,Bella,Female,Divorced,2,Doctorate,Hispanic,English,Australia,Student,Atheism,1992-04-07,Moderate,Citizen,Rural,Yes
45-54,Nina,Male,Married,1,Doctorate,Other,English,Canada,Professional,Atheism,1968-02-16,High,Other,Suburban,Yes
25-34,Nicholas,Male,Married,5+,Undergraduate,Asian,Mandarin,India,Student,Buddhism,1989-11-01,Low,Citizen,Rural,No
35-44,Ava,Female,Single,5+,Doctorate,Caucasian,Other,Australia,Student,Hinduism,1963-07-30,Low,Other,Suburban,No
35-44,Parker,Male,Divorced,3-4,Doctorate,Caucasian,English,Canada,Student,Atheism,1995-11-27,High,Work Visa,Suburban,Yes
35-44,Carter,Male,Single,3-4,Postgraduate,Caucasian,Mandarin,UK,Retired,Atheism,1974-11-03,High,Other,Urban,Yes
65+,Amelia,Female,Single,3-4,High School,African American,English,Canada,Retired,Buddhism,1952-05-11,Low,Permanent Resident,Rural,Yes
45-54,Lily,Female,Divorced,5+,Doctorate,Hispanic,English,India,Professional,Hinduism,1994-11-15,High,Permanent Resident,Rural,No
45-54,Julian,Female,Married,3-4,Doctorate,Hispanic,Spanish,Canada,Retired,Islam,1972-06-16,Low,Other,Suburban,No
18-24,Yvonne,Non-Binary,Single,1,Postgraduate,Hispanic,French,India,Professional,Christianity,1959-01-15,High,Permanent Resident,Rural,Yes
25-34,Claire,Male,Married,5+,Doctorate,African American,French,India,Student,Atheism,1971-06-13,Moderate,Citizen,Urban,No
18-24,Uriah,Female,Single,1,Doctorate,Caucasian,Other,India,Professional,Atheism,1939-04-08,Moderate,Other,Urban,Yes
55-64,Yvonne,Male,Single,2,High School,Caucasian,English,USA,Self-employed,Buddhism,1987-02-12,Moderate,Permanent Resident,Urban,Yes
35-44,Cecilia,Non-Binary,Divorced,3-4,Postgraduate,Other,English,Canada,Student,Atheism,2003-10-03,High,Work Visa,Urban,Yes
25-34,Jacob,Male,Single,5+,Postgraduate,Hispanic,Other,Canada,Self-employed,Islam,1969-09-24,Low,Citizen,Rural,No
65+,Benjamin,Female,Single,2,Doctorate,African American,Mandarin,India,Self-employed,Other,1981-04-05,Moderate,Work Visa,Urban,No
18-24,Faith,Non-Binary,Single,3-4,High School,Asian,Mandarin,Australia,Student,Buddhism,1993-12-30,Moderate,Citizen,Urban,No
65+,Karen,Non-Binary,Married,2,Postgraduate,Other,Other,UK,Retired,Islam,1962-10-27,Low,Other,Suburban,Yes
45-54,Rachel,Female,Single,5+,Undergraduate,Hispanic,Spanish,Canada,Retired,Hinduism,2003-05-14,High,Citizen,Urban,Yes
<18,Kaitlyn,Non-Binary,Divorced,1,Doctorate,Hispanic,English,UK,Student,Christianity,1968-10-17,Moderate,Citizen,Suburban,Yes
35-44,Aaron,Non-Binary,Married,1,Doctorate,African American,Other,Australia,Student,Hinduism,1955-11-10,Moderate,Permanent Resident,Urban,No
25-34,Yara,Female,Divorced,3-4,High School,Hispanic,French,India,Self-employed,Christianity,1958-04-21,High,Work Visa,Urban,Yes
55-64,Uma,Male,Single,5+,Doctorate,Other,Other,UK,Student,Atheism,1997-04-23,Low,Other,Urban,No
55-64,Sienna,Female,Married,2,Doctorate,Other,Other,Canada,Professional,Buddhism,1993-11-29,Moderate,Work Visa,Urban,No
<18,Cecilia,Non-Binary,Single,5+,High School,Caucasian,Other,Australia,Retired,Islam,1985-05-25,High,Permanent Resident,Rural,No
35-44,Paisley,Non-Binary,Single,5+,High School,Hispanic,Other,India,Student,Islam,1957-03-23,Moderate,Work Visa,Urban,Yes
35-44,Gemma,Female,Single,5+,Postgraduate,Hispanic,Other,UK,Retired,Atheism,1994-05-23,High,Other,Urban,Yes
35-44,Harley,Female,Married,3-4,Postgraduate,African American,French,Australia,Self-employed,Other,1941-10-07,Low,Permanent Resident,Suburban,Yes
35-44,Mia,Male,Divorced,2,Postgraduate,Hispanic,English,Australia,Professional,Buddhism,1992-09-07,Moderate,Citizen,Urban,No
35-44,Mia,Female,Married,5+,High School,Asian,English,UK,Professional,Atheism,1945-09-25,Low,Other,Rural,Yes
35-44,Yvonne,Non-Binary,Married,1,Undergraduate,Other,Other,India,Self-employed,Christianity,1972-12-26,Low,Permanent Resident,Urban,Yes
25-34,Walker,Female,Married,1,Undergraduate,African American,Other,USA,Retired,Christianity,1987-12-11,High,Work Visa,Urban,No
18-24,Charlie,Non-Binary,Married,5+,Undergraduate,Asian,Spanish,Australia,Self-employed,Other,2003-09-11,Moderate,Citizen,Suburban,No
<18,Prarthana,Female,Married,1,Doctorate,Hispanic,Mandarin,UK,Professional,Islam,1974-09-07,Moderate,Other,Urban,Yes
45-54,Ximena,Male,Single,5+,Postgraduate,Asian,Other,Australia,Professional,Buddhism,1993-10-27,High,Citizen,Rural,No
35-44,Nathan,Male,Married,1,Doctorate,African American,English,USA,Retired,Islam,1954-02-11,Low,Citizen,Urban,Yes
55-64,Grayson,Female,Single,5+,Doctorate,Asian,Spanish,UK,Professional,Atheism,1964-07-31,Low,Permanent Resident,Rural,Yes
<18,Brooke,Female,Married,3-4,Doctorate,Caucasian,English,India,Student,Hinduism,1956-10-03,High,Other,Suburban,Yes
25-34,Quintin,Male,Single,3-4,Doctorate,Caucasian,Other,UK,Self-employed,Christianity,1999-08-05,High,Citizen,Rural,No
<18,Sienna,Non-Binary,Single,3-4,Postgraduate,Other,Mandarin,UK,Professional,Hinduism,1942-01-08,High,Permanent Resident,Rural,Yes
65+,Kylie,Non-Binary,Single,1,Undergraduate,Other,Spanish,India,Student,Atheism,1941-02-27,Low,Work Visa,Suburban,Yes
18-24,Faith,Female,Single,5+,High School,African American,Mandarin,USA,Self-employed,Christianity,1996-03-05,Low,Other,Urban,No
18-24,Nora,Non-Binary,Divorced,3-4,High School,Other,French,UK,Self-employed,Islam,1944-02-18,Moderate,Permanent Resident,Suburban,No
35-44,Fiona,Female,Single,5+,Postgraduate,African American,French,India,Student,Atheism,1960-11-04,High,Work Visa,Suburban,No
45-54,Logan,Male,Married,2,High School,Asian,Mandarin,Canada,Student,Atheism,1954-06-03,High,Other,Suburban,No
35-44,Charlotte,Female,Married,1,Postgraduate,Other,Mandarin,India,Professional,Buddhism,1990-03-01,High,Permanent Resident,Urban,No
35-44,Ulric,Female,Married,1,Undergraduate,Asian,English,India,Retired,Buddhism,1972-07-02,Low,Other,Urban,Yes
65+,Quinn,Non-Binary,Single,5+,Undergraduate,Other,Mandarin,Canada,Student,Buddhism,1955-07-28,High,Other,Suburban,Yes
18-24,Isla,Female,Divorced,2,Postgraduate,Other,Other,USA,Professional,Christianity,2006-04-04,Moderate,Citizen,Rural,Yes
55-64,Quinton,Female,Divorced,1,Postgraduate,African American,Mandarin,Australia,Student,Christianity,1950-09-26,High,Other,Rural,No
45-54,Walker,Non-Binary,Divorced,2,Undergraduate,Other,Spanish,Canada,Student,Buddhism,1939-02-18,Low,Work Visa,Rural,Yes
18-24,Prarthana,Male,Divorced,5+,Undergraduate,Caucasian,English,India,Self-employed,Other,1997-04-04,Moderate,Permanent Resident,Suburban,Yes
45-54,Wendy,Male,Divorced,3-4,Undergraduate,Caucasian,French,India,Student,Buddhism,1946-06-23,High,Citizen,Rural,Yes
65+,Eleanor,Female,Married,2,Postgraduate,Hispanic,English,UK,Professional,Other,1985-08-25,High,Permanent Resident,Urban,Yes
<18,Reed,Female,Divorced,5+,Doctorate,Hispanic,French,India,Retired,Buddhism,1959-10-25,Low,Other,Rural,Yes
45-54,David,Non-Binary,Married,1,High School,African American,English,Australia,Self-employed,Atheism,1967-08-01,Moderate,Other,Suburban,No
45-54,Zeke,Male,Single,5+,Undergraduate,Asian,Other,Canada,Professional,Other,1994-01-04,High,Citizen,Suburban,Yes
<18,Ian,Non-Binary,Single,2,Undergraduate,African American,Spanish,USA,Professional,Buddhism,1957-06-12,Low,Permanent Resident,Rural,No
55-64,Gianna,Female,Divorced,2,Postgraduate,Other,English,Australia,Student,Buddhism,1968-03-23,Low,Citizen,Rural,No
45-54,Edward,Non-Binary,Married,5+,Undergraduate,Other,Other,Canada,Retired,Other,2005-08-04,High,Permanent Resident,Urban,No
65+,Cameron,Female,Married,3-4,High School,Other,Mandarin,Canada,Professional,Islam,1969-10-17,Moderate,Permanent Resident,Urban,Yes
45-54,Xena,Male,Single,2,Undergraduate,Other,Other,UK,Professional,Islam,2000-04-20,High,Permanent Resident,Suburban,Yes
45-54,Kennedy,Male,Single,5+,Postgraduate,Other,Mandarin,USA,Student,Hinduism,1978-03-29,High,Work Visa,Rural,No
55-64,Ophelia,Male,Married,1,Undergraduate,Caucasian,French,USA,Professional,Other,1967-04-10,High,Other,Urban,No
45-54,Carter,Female,Divorced,3-4,Doctorate,Asian,Mandarin,Australia,Professional,Buddhism,1943-12-14,Moderate,Permanent Resident,Urban,No
18-24,Yara,Female,Divorced,1,Postgraduate,African American,French,Australia,Self-employed,Atheism,1951-06-13,Low,Citizen,Rural,Yes
<18,Xander,Female,Divorced,1,Postgraduate,Caucasian,French,USA,Retired,Islam,1971-11-27,Low,Work Visa,Suburban,Yes
35-44,Amelia,Male,Married,5+,Doctorate,Other,Other,India,Student,Hinduism,1999-08-08,High,Citizen,Suburban,No
65+,Ivan,Non-Binary,Single,2,Postgraduate,Hispanic,Mandarin,India,Retired,Islam,1945-04-21,High,Other,Suburban,Yes
35-44,Wyatt,Female,Divorced,5+,High School,Other,English,Australia,Retired,Christianity,1979-07-28,Low,Citizen,Urban,No
35-44,Rachel,Female,Married,1,High School,Caucasian,Spanish,India,Self-employed,Christianity,1952-09-24,Low,Other,Rural,No
<18,Uma,Female,Married,1,Undergraduate,African American,French,India,Retired,Christianity,1950-07-06,Low,Other,Suburban,No
65+,Imogen,Male,Single,5+,High School,African American,English,UK,Self-employed,Islam,1991-07-21,High,Permanent Resident,Rural,No
35-44,Xena,Female,Married,2,High School,Other,French,Canada,Professional,Atheism,1999-03-26,High,Work Visa,Rural,Yes
25-34,Zack,Male,Divorced,1,Doctorate,Hispanic,Spanish,UK,Professional,Christianity,1997-03-28,High,Other,Urban,Yes
55-64,Iris,Female,Divorced,5+,High School,Hispanic,Mandarin,Australia,Self-employed,Atheism,1955-03-20,High,Permanent Resident,Rural,No
55-64,Hannah,Female,Married,5+,Undergraduate,Hispanic,Mandarin,Canada,Self-employed,Other,1956-06-11,Low,Citizen,Suburban,Yes
55-64,Quintin,Male,Divorced,5+,Postgraduate,Other,English,USA,Self-employed,Hinduism,1980-12-26,Low,Permanent Resident,Urban,No
<18,Tanner,Non-Binary,Married,2,High School,Hispanic,English,UK,Student,Buddhism,1975-04-29,Moderate,Permanent Resident,Rural,Yes
65+,PJAnna,Male,Divorced,3-4,Doctorate,Asian,French,UK,Professional,Other,1997-10-06,Moderate,Other,Urban,No
45-54,Alice,Female,Divorced,3-4,Postgraduate,Hispanic,Spanish,USA,Self-employed,Islam,1966-02-02,Low,Citizen,Urban,No
55-64,Yvette,Male,Divorced,2,High School,Caucasian,English,Canada,Student,Other,1984-07-09,Moderate,Other,Suburban,No
45-54,Zion,Female,Single,3-4,High School,African American,Spanish,India,Retired,Atheism,2005-12-12,Low,Citizen,Urban,No
65+,Imogen,Female,Married,5+,Doctorate,Caucasian,English,USA,Self-employed,Islam,1988-11-29,High,Citizen,Suburban,No
35-44,Rachel,Non-Binary,Divorced,1,Undergraduate,Hispanic,Other,Canada,Self-employed,Buddhism,1981-06-21,High,Other,Rural,No
25-34,Ivan,Female,Divorced,1,Doctorate,Hispanic,Mandarin,Canada,Retired,Atheism,1990-10-01,Moderate,Other,Suburban,No
55-64,Charlotte,Female,Married,1,Postgraduate,Asian,Other,UK,Student,Christianity,1995-06-19,High,Permanent Resident,Urban,No
65+,Quinn,Non-Binary,Divorced,1,High School,Other,Mandarin,Canada,Student,Other,2001-02-23,Low,Work Visa,Suburban,No
65+,Gideon,Male,Single,1,Undergraduate,African American,French,Canada,Professional,Christianity,1960-12-17,Moderate,Permanent Resident,Suburban,No
25-34,Ursula,Non-Binary,Married,1,Doctorate,Asian,Other,USA,Self-employed,Buddhism,1952-05-28,High,Other,Suburban,Yes
65+,Yvonne,Non-Binary,Married,2,Postgraduate,African American,Spanish,India,Professional,Atheism,1981-11-14,Moderate,Permanent Resident,Rural,No
55-64,Maddox,Female,Married,2,Postgraduate,Asian,Mandarin,India,Professional,Atheism,1973-08-16,Moderate,Other,Rural,Yes
65+,Grace,Female,Single,3-4,Undergraduate,Hispanic,Spanish,Australia,Professional,Atheism,1991-08-29,Low,Other,Rural,Yes
25-34,Piper,Female,Single,3-4,High School,Caucasian,English,Canada,Retired,Hinduism,2000-05-03,Low,Work Visa,Urban,No
25-34,Prarthana,Male,Married,1,High School,Caucasian,English,Canada,Student,Hinduism,1947-10-16,High,Work Visa,Suburban,Yes
18-24,Jasper,Female,Single,1,High School,African American,English,USA,Retired,Islam,1968-02-04,High,Other,Rural,No
45-54,Brianna,Male,Divorced,3-4,Doctorate,African American,English,USA,Student,Buddhism,1963-08-23,Low,Other,Urban,No
25-34,Piper,Non-Binary,Married,5+,Doctorate,Caucasian,French,UK,Retired,Islam,1949-09-06,Moderate,Work Visa,Suburban,No
35-44,Bryson,Non-Binary,Married,3-4,High School,African American,French,India,Retired,Buddhism,1996-08-19,Moderate,Permanent Resident,Suburban,Yes
35-44,Owen,Male,Single,1,Doctorate,Caucasian,English,USA,Professional,Buddhism,1978-06-21,Low,Citizen,Suburban,No
65+,Fiona,Male,Single,5+,Postgraduate,Hispanic,Spanish,India,Student,Atheism,1991-10-18,High,Citizen,Suburban,Yes
18-24,Olive,Non-Binary,Married,2,Postgraduate,Asian,French,UK,Self-employed,Atheism,1988-06-27,Moderate,Other,Rural,Yes
35-44,Charlotte,Male,Divorced,1,Undergraduate,African American,Spanish,Australia,Student,Other,1972-09-26,Moderate,Citizen,Urban,No
65+,Prarthana,Non-Binary,Married,2,Undergraduate,African American,Spanish,UK,Retired,Christianity,1968-07-06,Moderate,Permanent Resident,Suburban,No
35-44,Rebecca,Male,Single,1,Undergraduate,Hispanic,Spanish,Canada,Student,Hinduism,1985-06-16,Moderate,Other,Rural,Yes
<18,Nina,Female,Single,3-4,High School,Caucasian,Spanish,USA,Self-employed,Buddhism,1963-04-07,High,Work Visa,Rural,No
65+,Yvonne,Non-Binary,Single,5+,Undergraduate,Other,English,Australia,Professional,Buddhism,1968-01-20,Low,Other,Rural,No
65+,Olivia,Male,Divorced,5+,Undergraduate,Asian,Spanish,Australia,Retired,Other,1981-09-29,High,Other,Urban,Yes
45-54,Zeke,Male,Married,2,Undergraduate,Hispanic,Other,India,Self-employed,Buddhism,1943-02-20,Moderate,Permanent Resident,Rural,Yes
25-34,Kennedy,Male,Married,2,Doctorate,Caucasian,Spanish,India,Professional,Hinduism,1949-07-06,High,Work Visa,Rural,Yes
<18,Fiona,Non-Binary,Single,2,Undergraduate,Caucasian,Other,Canada,Student,Buddhism,1974-02-18,Moderate,Permanent Resident,Rural,No
65+,Quinn,Male,Single,1,Undergraduate,Caucasian,Mandarin,UK,Retired,Atheism,2003-03-27,Moderate,Work Visa,Rural,No
25-34,Nina,Female,Married,5+,Postgraduate,African American,English,India,Student,Buddhism,1956-07-27,Low,Work Visa,Rural,No
35-44,Uriel,Non-Binary,Single,5+,Undergraduate,Hispanic,English,USA,Retired,Christianity,1972-01-30,High,Other,Urban,No
25-34,Jordan,Female,Single,1,High School,Asian,Other,Australia,Self-employed,Atheism,2006-01-19,High,Citizen,Rural,No
65+,Claire,Male,Divorced,2,Postgraduate,Asian,English,Canada,Self-employed,Christianity,1979-03-16,High,Permanent Resident,Urban,No
65+,Victor,Male,Divorced,5+,Doctorate,African American,English,Australia,Retired,Other,1991-12-07,Moderate,Permanent Resident,Rural,No
65+,Uriel,Male,Married,2,Doctorate,Hispanic,Other,USA,Student,Other,1959-08-01,Moderate,Citizen,Rural,Yes
25-34,Yara,Female,Divorced,5+,Undergraduate,Other,English,USA,Professional,Christianity,1954-03-08,High,Other,Urban,No
65+,Rachel,Non-Binary,Divorced,1,Doctorate,Asian,Mandarin,Australia,Retired,Atheism,1960-03-09,Moderate,Permanent Resident,Rural,No
55-64,Lily,Female,Single,1,Doctorate,Hispanic,English,Australia,Self-employed,Islam,1940-10-21,Moderate,Work Visa,Suburban,No
35-44,Ruby,Non-Binary,Divorced,5+,High School,Caucasian,English,Canada,Self-employed,Hinduism,1984-09-16,Moderate,Work Visa,Urban,Yes
35-44,Xander,Male,Married,1,Postgraduate,Caucasian,Mandarin,UK,Professional,Christianity,1962-07-15,Low,Other,Urban,Yes
45-54,Yvonne,Male,Married,1,Postgraduate,Hispanic,Mandarin,India,Self-employed,Hinduism,1966-04-19,Low,Work Visa,Rural,Yes
18-24,Cameron,Non-Binary,Divorced,3-4,Doctorate,Caucasian,Mandarin,USA,Retired,Other,1949-11-18,Moderate,Work Visa,Rural,Yes
55-64,Sienna,Male,Divorced,1,Doctorate,Other,Other,USA,Self-employed,Buddhism,1978-11-30,Moderate,Citizen,Urban,No
35-44,Lincoln,Male,Divorced,2,Postgraduate,Hispanic,Spanish,USA,Professional,Christianity,1978-04-02,Moderate,Other,Urban,No
18-24,Lucas,Non-Binary,Single,5+,High School,Other,English,Canada,Student,Islam,1975-04-30,High,Work Visa,Suburban,No
25-34,Benjamin,Female,Married,2,High School,African American,Other,UK,Student,Christianity,1995-11-26,Moderate,Permanent Resident,Suburban,Yes
35-44,Lily,Male,Single,2,Postgraduate,Asian,French,India,Retired,Hinduism,1974-02-19,High,Other,Suburban,No
55-64,Gemma,Female,Divorced,3-4,Doctorate,Hispanic,Spanish,UK,Professional,Other,1999-11-25,Low,Other,Urban,No
18-24,Karen,Female,Single,1,High School,Other,Mandarin,USA,Retired,Christianity,1960-10-18,Low,Permanent Resident,Suburban,Yes
25-34,Madison,Male,Divorced,2,High School,Hispanic,English,India,Retired,Other,1962-02-26,High,Work Visa,Suburban,No
18-24,Ruby,Male,Married,2,Undergraduate,Other,French,India,Retired,Hinduism,1987-09-21,Low,Other,Rural,Yes
65+,Charlie,Non-Binary,Divorced,1,Postgraduate,Caucasian,Other,India,Retired,Hinduism,1975-03-18,High,Work Visa,Urban,No
45-54,Kylie,Non-Binary,Divorced,2,High School,Hispanic,French,Canada,Self-employed,Other,1965-02-17,High,Work Visa,Urban,Yes
<18,Sadie,Non-Binary,Married,3-4,High School,Asian,Other,Canada,Self-employed,Hinduism,1959-02-11,Low,Citizen,Suburban,Yes
25-34,Harry,Non-Binary,Divorced,1,Postgraduate,Caucasian,Other,India,Retired,Atheism,1974-03-06,Moderate,Citizen,Suburban,Yes
55-64,Uriel,Male,Divorced,3-4,High School,Other,English,UK,Retired,Atheism,1967-10-28,Moderate,Work Visa,Urban,No
55-64,Iris,Female,Divorced,2,Doctorate,Other,English,Canada,Student,Hinduism,1972-10-20,Moderate,Citizen,Urban,Yes
25-34,Diana,Male,Married,5+,Postgraduate,Caucasian,Other,USA,Self-employed,Hinduism,1949-02-02,Low,Work Visa,Rural,No
35-44,Aiden,Non-Binary,Divorced,2,High School,Other,Spanish,USA,Professional,Buddhism,1970-02-25,High,Work Visa,Suburban,Yes
45-54,Owen,Female,Married,5+,High School,Hispanic,Mandarin,India,Retired,Buddhism,1955-03-05,Moderate,Other,Suburban,Yes
55-64,Maddox,Non-Binary,Single,3-4,Doctorate,African American,Spanish,India,Professional,Hinduism,1967-06-22,High,Other,Suburban,No
55-64,Olive,Male,Divorced,3-4,Doctorate,Asian,English,Canada,Professional,Christianity,1952-03-27,High,Other,Suburban,No
18-24,Wendy,Non-Binary,Single,3-4,Undergraduate,Asian,Other,UK,Self-employed,Buddhism,1950-03-12,Moderate,Citizen,Rural,Yes
55-64,Charlie,Female,Single,5+,Undergraduate,African American,Mandarin,UK,Professional,Hinduism,1974-12-05,High,Work Visa,Suburban,No
35-44,Kevin,Male,Married,2,Doctorate,Asian,Mandarin,Australia,Self-employed,Christianity,1965-01-17,High,Permanent Resident,Urban,No
45-54,Leah,Male,Single,2,Postgraduate,Hispanic,French,USA,Professional,Islam,1990-09-01,High,Work Visa,Suburban,No
55-64,Tanner,Non-Binary,Married,1,Doctorate,Other,French,Canada,Retired,Buddhism,1999-11-04,High,Permanent Resident,Rural,Yes
18-24,Nina,Non-Binary,Single,3-4,High School,Caucasian,Spanish,Canada,Professional,Atheism,1979-09-27,Moderate,Other,Urban,Yes
18-24,Hudson,Female,Single,1,Doctorate,Asian,Mandarin,Canada,Retired,Islam,1943-12-01,Moderate,Citizen,Suburban,No
